the man is walking	l'uomo cammina
the woman is running	la donna corre
a dog is barking	un cane abbaia
the cat is sleeping	il gatto dorme
the children are playing	i bambini giocano
the sun is shining	il sole splende
the car is fast	l'auto e veloce
the house is big	la casa e grande
the book is interesting	il libro e interessante
i like coffee	mi piace il caffe
she likes tea	a lei piace il te
we are happy	siamo felici
they are tired	sono stanchi
he is reading a book	lui legge un libro
she is writing a letter	lei scrive una lettera
the bird is flying	l'uccello vola
the fish is swimming	il pesce nuota
the teacher is speaking	l'insegnante parla
the students are listening	gli studenti ascoltano
the food is delicious	il cibo e delizioso
the weather is nice today	il tempo e bello oggi
the movie was very good	il film era molto bello
i am learning italian	sto imparando l'italiano
she is learning english	lei impara l'inglese
the train arrives at noon	il treno arriva a mezzogiorno
the city is very old	la citta e molto antica
the mountain is very high	la montagna e molto alta
the river flows to the sea	il fiume sfocia nel mare
the child is smiling	il bambino sorride
the man is smiling	l'uomo sorride
