the man is walking	l'homme marche
the woman is running	la femme court
a dog is barking	un chien aboie
the cat is sleeping	le chat dort
the children are playing	les enfants jouent
the sun is shining	le soleil brille
the car is fast	la voiture est rapide
the house is big	la maison est grande
the book is interesting	le livre est interessant
i like coffee	j'aime le cafe
she likes tea	elle aime le the
we are happy	nous sommes heureux
they are tired	ils sont fatigues
he is reading a book	il lit un livre
she is writing a letter	elle ecrit une lettre
the bird is flying	l'oiseau vole
the fish is swimming	le poisson nage
the teacher is speaking	le professeur parle
the students are listening	les etudiants ecoutent
the food is delicious	la nourriture est delicieuse
the weather is nice today	le temps est beau aujourd'hui
the movie was very good	le film etait tres bon
i am learning french	j'apprends le francais
she is learning english	elle apprend l'anglais
the train arrives at noon	le train arrive a midi
the city is very old	la ville est tres vieille
the mountain is very high	la montagne est tres haute
the river flows to the sea	le fleuve se jette dans la mer
the child is smiling	l'enfant sourit
the man is smiling	l'homme sourit
