the man is walking	el hombre camina
the woman is running	la mujer corre
a dog is barking	un perro ladra
the cat is sleeping	el gato duerme
the children are playing	los ninos juegan
the sun is shining	el sol brilla
the car is fast	el coche es rapido
the house is big	la casa es grande
the book is interesting	el libro es interesante
i like coffee	me gusta el cafe
she likes tea	a ella le gusta el te
we are happy	estamos felices
they are tired	estan cansados
he is reading a book	el lee un libro
she is writing a letter	ella escribe una carta
the bird is flying	el pajaro vuela
the fish is swimming	el pez nada
the teacher is speaking	el profesor habla
the students are listening	los estudiantes escuchan
the food is delicious	la comida es deliciosa
the weather is nice today	el clima es agradable hoy
the movie was very good	la pelicula fue muy buena
i am learning spanish	estoy aprendiendo espanol
she is learning english	ella aprende ingles
the train arrives at noon	el tren llega al mediodia
the city is very old	la ciudad es muy antigua
the mountain is very high	la montana es muy alta
the river flows to the sea	el rio desemboca en el mar
the child is smiling	el nino sonrie
the man is smiling	el hombre sonrie
