the man is walking	der mann geht
the woman is running	die frau rennt
a dog is barking	ein hund bellt
the cat is sleeping	die katze schlaeft
the children are playing	die kinder spielen
the sun is shining	die sonne scheint
the car is fast	das auto ist schnell
the house is big	das haus ist gross
the book is interesting	das buch ist interessant
i like coffee	ich mag kaffee
she likes tea	sie mag tee
we are happy	wir sind gluecklich
they are tired	sie sind muede
he is reading a book	er liest ein buch
she is writing a letter	sie schreibt einen brief
the bird is flying	der vogel fliegt
the fish is swimming	der fisch schwimmt
the teacher is speaking	der lehrer spricht
the students are listening	die schueler hoeren zu
the food is delicious	das essen ist lecker
the weather is nice today	das wetter ist heute schoen
the movie was very good	der film war sehr gut
i am learning german	ich lerne deutsch
she is learning english	sie lernt englisch
the train arrives at noon	der zug kommt mittags an
the city is very old	die stadt ist sehr alt
the mountain is very high	der berg ist sehr hoch
the river flows to the sea	der fluss fliesst zum meer
the child is smiling	das kind laechelt
the man is smiling	der mann laechelt
